기준일ID,시간대구분,자치구코드
20210101,23,11230
20210101,23,11260
20210101,23,11290
20210101,23,11305
20210101,23,11320
20210101,23,11350
20210101,23,11380
20210101,23,11410
20210101,23,11440
20210101,23,11470
20210101,23,11500
20210101,23,11530
20210101,23,11545
20210101,23,11560
20210101,23,11590
20210101,23,11620
20210101,23,11650
20210101,23,11680
20210101,23,11710
20210101,23,11740
20210102,0,11110
20210102,0,11140
20210102,0,11170
20210102,0,11200
20210102,0,11215
20210102,0,11230
20210102,0,11260
20210102,0,11290
20210102,0,11305
20210102,0,11320
20210102,0,11350
20210102,0,11380
20210102,0,11410
20210102,0,11440
20210102,0,11470
20210102,0,11500
20210102,0,11530
20210102,0,11545
20210102,0,11560
20210102,0,11590
20210102,0,11620
20210102,0,11650
20210102,0,11680
20210102,0,11710
20210102,0,11740
20210102,1,11110
20210102,1,11140
20210102,1,11170
20210102,1,11200
20210102,1,11215
20210102,1,11230
20210102,1,11260
20210102,1,11290
20210102,1,11305
20210102,1,11320
20210102,1,11350
20210102,1,11380
20210102,1,11410
20210102,1,11440
20210102,1,11470
20210102,1,11500
20210102,1,11530
20210102,1,11545
20210102,1,11560
20210102,1,11590
20210102,1,11620
20210102,1,11650
20210102,1,11680
20210102,1,11710
20210102,1,11740
20210102,2,11110
20210102,2,11140
20210102,2,11170
20210102,2,11200
20210102,2,11215
20210102,2,11230
20210102,2,11260
20210102,2,11290
20210102,2,11305
20210102,2,11320
20210102,2,11350
20210102,2,11380
20210102,2,11410
20210102,2,11440
20210102,2,11470
20210102,2,11500
20210102,2,11530
20210102,2,11545
20210102,2,11560
20210102,2,11590
20210102,2,11620
20210102,2,11650
20210102,2,11680
20210102,2,11710
20210102,2,11740
20210102,3,11110
20210102,3,11140
20210102,3,11170
20210102,3,11200
20210102,3,11215
20210102,3,11230
20210102,3,11260
20210102,3,11290
20210102,3,11305
20210102,3,11320
20210102,3,11350
20210102,3,11380
20210102,3,11410
20210102,3,11440
20210102,3,11470
20210102,3,11500
20210102,3,11530
20210102,3,11545
20210102,3,11560
20210102,3,11590
20210102,3,11620
20210102,3,11650
20210102,3,11680
20210102,3,11710
20210102,3,11740
20210102,4,11110
20210102,4,11140
20210102,4,11170
20210102,4,11200
20210102,4,11215
20210102,4,11230
20210102,4,11260
20210102,4,11290
20210102,4,11305
20210102,4,11320
20210102,4,11350
20210102,4,11380
20210102,4,11410
20210102,4,11440
20210102,4,11470
20210102,4,11500
20210102,4,11530
20210102,4,11545
20210102,4,11560
20210102,4,11590
20210102,4,11620
20210102,4,11650
20210102,4,11680
20210102,4,11710
20210102,4,11740
20210102,5,11110
20210102,5,11140
20210102,5,11170
20210102,5,11200
20210102,5,11215
20210102,5,11230
20210102,5,11260
20210102,5,11290
20210102,5,11305
20210102,5,11320
20210102,5,11350
20210102,5,11380
20210102,5,11410
20210102,5,11440
20210102,5,11470
20210102,5,11500
20210102,5,11530
20210102,5,11545
20210102,5,11560
20210102,5,11590
20210102,5,11620
20210102,5,11650
20210102,5,11680
20210102,5,11710
20210102,5,11740
20210102,6,11110
20210102,6,11140
20210102,6,11170
20210102,6,11200
20210102,6,11215
20210102,6,11230
20210102,6,11260
20210102,6,11290
20210102,6,11305
20210102,6,11320
20210102,6,11350
20210102,6,11380
20210102,6,11410
20210102,6,11440
20210102,6,11470
20210102,6,11500
20210102,6,11530
20210102,6,11545
20210102,6,11560
20210102,6,11590
20210102,6,11620
20210102,6,11650
20210102,6,11680
20210102,6,11710
20210102,6,11740
20210102,7,11110
20210102,7,11140
20210102,7,11170
20210102,7,11200
20210102,7,11215
20210102,7,11230
